sr_no,brand,stage,category,ch_pillar,sub_category,products,website,source,financial_signal,filter_profitable,filter_bootstrapped,filter_founder_led,filter_independent,revenue_fy_inr_cr,pat_or_margin,promoter_name,promoter_contact,valuation_note,priority,owner,next_action,last_update,rejection_reason,comments
185,Seavy Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",http://www.seavy.in/,Collated Sheet,,,,,,,,,,,,,,,,Unable to access the website
186,Seeba,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, kitchen accessories",https://www.seebaindustries.com/,Collated Sheet,Decent website - dip in revenue & profit in FY24,,,,,,,,,,,,,,,Decent website - dip in revenue & profit in FY24
187,Selvel,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, kitchen organizers, buckets, tubs, utility household products",https://selvelglobal.com/,Collated Sheet,,,,,,,,,,,,,,,,The products are decent
188,Senego,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, pillow covers, curtains, home linen",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. Products listed on amazon are quite basic. scale and employee count not available
189,Seznik,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, planters, tabletop décor",-,Collated Sheet,,,,,,,,,,,,,,,,The products are quite basic
190,Shabari Cottons,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, towels, comforters, quilts, pillow covers, home linen",https://www.shabari.com/,Collated Sheet,,,,,,,,,,,,,,,,
191,Shaswat Décor,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Wall décor, decorative objects, mirrors, candle holders, home accents",http://shashwatdecor.in/index.php,Collated Sheet,,,,,,,,,,,,,,,,
192,Sheffield Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Electric kettles, toasters, mixer grinders, induction cooktops, kitchen appliances",https://www.sheffieldclassic.com/,Collated Sheet,,,,,,,,,,,,,,,,Skipped - since it is a public company
193,Shinag Allied Enterprises,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, curtains, comforters, blankets, cushion covers, home linen",https://shinagallied.tradeindia.com/products.html,Collated Sheet,,,,,,,,,,,,,,,,Unable to access the website
194,Shree Balajee Home Products,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",https://shreebalajee.in/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the products are quite basic
195,Shree Ganesh,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Diyas, pooja accessories, decorative lights, festive décor, gifting products",https://shreeganeshcookwares.com/about-us/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the website is quite basic
196,Siddhi Blind,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, upholstery fabrics, blinds, sofa fabrics, furnishing textiles",https://www.s3blinds.com/,Collated Sheet,,,,,,,,,,,,,,,,
197,Siddhivinayak Electronics,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Cookware, kitchen utensils, serving ware, storage containers, kitchen accessories",https://www.newsiddhivinayakelectronics.shop/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers large appliances
198,Sigriwala,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, utensils, serving ware, dinnerware",https://sigriwala.com/,Collated Sheet,,,,,,,,,,,,,,,,Decent website - Part of Globalbees
199,Simone,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtain fabrics, upholstery fabrics, sofa fabrics, furnishing textiles",https://www.simone.com/,Collated Sheet,,,,,,,,,,,,,,,,"1 store in Mumbai.Importer of bed and bath linen,cushions."
200,Skipper Furnishing,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",https://skipperfurnishings.com/,Collated Sheet,,,,,,,,,,,,,,,,
201,Skycon Appliances,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, kitchen accessories",https://skyconappliances.com/contact-us/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers commercial appliances
202,Skylark Cables And Cords,Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Mixer grinders, induction cooktops, electric kettles, gas stoves, chimneys",http://skylarkgrkup.in/,Collated Sheet,,,,,,,,,,,,,,,,Unable to access the website
203,Sleeping Owls,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Mattresses, pillows, mattress protectors, mattress toppers, bedding accessories",https://sleepingowls.in/,Collated Sheet,,,,,,,,,,,,,,,,
204,Smart One,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Mattresses, memory foam mattresses, pillows, mattress toppers, bedding",-,Collated Sheet,,,,,,,,,,,,,,,,Cant find the website or its products
205,Praylady,Rejected-CH,Home Storage & Organization,Kitchen,Kitchen Storage,"Stainless steel storage containers, lunch boxes, casseroles, kitchen organizers",https://shopwithpraylady.com/,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,Product fit,
206,SOFTEL,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Kitchen tools, cookware, utensils, storage containers, serving accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
207,Softspun,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Blinds, shades, curtains, shutters, window treatment accessories",-,Collated Sheet,,,,,,,,,,,,,,,,The products are not relevant
208,Soham Housewares,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Air coolers, portable cooling appliances, fans, home cooling solutions",-,Collated Sheet,,,,,,,,,,,,,,,,Website is not available
209,Somex Home Appliances,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, blankets, pillow covers, curtains",https://www.somex-smart.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company is headquartered in Turkey
210,Somny,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Mattresses, pillows, mattress toppers, bedding accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Products are quite basic. Employee count is quite low. scale not available
211,Sonal,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,The products are quite basic. Employee count is quite low
212,Soni Steel And Appliances,Screened-Out,Cookware & Kitchenware,Kitchen,Pressure Cookers,"Stainless steel cookware, kitchen utensils, pressure cookers, serving ware, kitchen accessories",https://sonisteelandappliances.com/,Collated Sheet,,,,,,,,,,,,,,,,Products Are Decent
213,Sonu Home Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, curtains, pillow covers, quilts, home linen",https://www.sonuhomefurnishings.com/,Collated Sheet,,,,,,,,,,,,,,,,
214,Soogo,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Home Organization,"Storage containers, kitchen organizers, utility products, household organizers",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. products listed on amazon are quite basic. Scale and employee count not available
215,Sophiya,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, blankets, cushion covers, curtains, home linen",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
216,Sourabh Steel,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",https://www.saurabhsteel.com/,Collated Sheet,The annual turnover of the company is inr 5-25Cr,,,,,,,,,,,,,,,Products are decent. The annual turnover of the company is inr 5-25Cr
217,Sparkmate By Crystal,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, lunch boxes, kitchen organizers, water bottles",-,Collated Sheet,Company has already been reviewed above as crystal,,,,,,,,,,,,,,,Company has already been reviewed above as crystal
218,Sparrow Décors,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, planters, tabletop décor",https://www.sparrowdecors.com/index.html,Collated Sheet,,,,,,,,,,,,,,,,Managing Director - Ankit Khandelwal. 0-40 L
219,Speedex,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Small kitchen appliances, electrical appliances, home utility appliances",-,Collated Sheet,,,,,,,,,,,,,,,,Website is a bit weak
220,Spine,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Ergonomic office chairs, office desks, storage furniture, office accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
221,Roxx,Rejected-Promoter,Home Appliances,Small Appliances,Small Kitchen Appliances,"Small kitchen appliances, home electrical appliances, utility appliances",https://www.roxx.in/,Collated Sheet,,,,,,,,,,,,,,,Not interested in the model,"Good quality products and wide range with huge scale as well, relevant (unfunded). Founder not interested"
222,Sprinfit,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Mattresses, pillows, mattress toppers, protectors, bedding accessories",https://www.springfit.com/,Collated Sheet,,,,,,,,,,,,,,,,
223,Springtek,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Memory foam mattresses, hybrid mattresses, pillows, mattress protectors, bedding",https://springtek.in/?,Collated Sheet,,,,,,,,,,,,,,,,
224,Sarita Handa,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bed linen, quilts, cushions, curtains, throws, table linen",https://saritahanda.com/,Collated Sheet,,,,,,,,,,,,,,,,"Global Exports, High Design + Global Exports = Niche Leader"
225,Star Coolers And Condensers,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Air coolers, condensers, cooling systems, HVAC equipment",https://starcooler.co.in/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has high scale
226,Star Klean,Screened-Out,General Merchandise,Other,Cleaning Products,"Mops, wipers, cleaning brushes, household cleaning accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Website is not available
227,Steamfab India,Screened-Out,Home Appliances,Small Appliances,Cleaning Appliances,"Steam cleaners, steam generators, industrial cleaning equipment",https://www.steamfab.co.in/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers commercial appliances
228,Steelcraft,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, kitchen accessories",https://steelcraftutensils.com/,Collated Sheet,,,,,,,,,,,,,,,,Products are decent
229,Steellock,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Stainless steel storage containers, canisters, lunch boxes, utility containers",-,Collated Sheet,,,,,,,,,,,,,,,,"Can explore, website is basic"
230,Steelo,Rejected-Promoter,Home Storage & Organization,Decor & Home Improvement,Storage Boxes & Bins,"Water bottles, lunch boxes, casseroles, storage containers, kitchenware",https://steelo.in/,Collated Sheet,,,,,,,,,,,,,,,Not interested in the model,Website is good and the products look good (mostly plastic). Founder not interested
231,Stn Home Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",https://www.dial4trade.com/stn-home-appliances/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has a low scale
232,Stoa Paris,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative accessories, wall décor, mirrors, lighting, home accents",https://stoaparis.com/,Collated Sheet,,,,,,,,,,,,,,,,Company is not interested in acquisition and is already funded.
233,Studio RK,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Wall décor, decorative accessories, furniture accents, home styling products",https://www.studiork.in/gandhi-nagar/,Collated Sheet,,,,,,,,,,,,,,,,
234,Stufa Manufacturing Enterprise,Screened-Out,Home Appliances,Small Appliances,Heating Appliances,"Room heaters, heating equipment, electric heaters, home heating solutions",https://suryaflame.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since it is an established company
235,Stylo,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. Products listed on flipkart are quite basic. Scale and employee count not available
236,Sugar Homeware,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Dinnerware, serveware, kitchen accessories, storage containers, drinkware",-,Collated Sheet,However the annual turnover is inr 1,,,,,,,,,,,,,,,The website is decent. However the annual turnover is inr 1.5-5cr and the employee count is quite low
237,Suhaani Creations,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, handcrafted accessories, decorative trays, mirrors, gifting products",https://www.suhaanicreations.in/,Collated Sheet,,,,,,,,,,,,,,,,
238,Sujata Home Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, juicer mixer grinders, mixer juicers, centrifugal juicers, hand blenders",https://houseofsujata.com/small-appliances/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since it is an established company
239,Sumaria Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, gas stoves, electric kettles, kitchen appliances",https://sumaria.in/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since it is a part of LG
240,Summercool Home Appliances,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Air coolers, fans, room heaters, kitchen appliances, home electrical appliances",https://www.summercoolindia.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has high scale
241,Sundev Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",-,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has low scale
242,Sunflame,Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Kitchen chimneys, gas stoves, induction cooktops, OTGs, air fryers, mixer grinders, electric kettles",https://www.sunflame.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since it is an established company
243,Sunlord Apparels,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, blankets, pillow covers, curtains, home linen",https://www.sunlord.com/about,Collated Sheet,,,,,,,,,,,,,,,,
244,Sunny Drape,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, blackout curtains, sheers, blinds, curtain accessories",https://www.sunnydrape.com/,Collated Sheet,25-100 cr,,,,,,,,,,,,,,,25-100 cr
245,Sunpet,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, kitchen organizers, buckets, tubs, household plasticware",-,Collated Sheet,,,,,,,,,,,,,,,,Skip because already highly established
246,Super Mom by Apex,Screened-Out,General Merchandise,Other,Cleaning Products,"Mops, spin mops, wipers, cleaning brushes, household cleaning accessories",https://supermomkitchenware.com/,Collated Sheet,,,,,,,,,,,,,,,,"Website is average, can explore"
247,Supreme Steel Works,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, storage containers",https://www.supremecutlery.in/,Collated Sheet,,,,,,,,,,,,,,,,Good Website
248,Surprise Linen,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, pillow covers, duvet covers, bedding",https://surpriselinen.com/,Collated Sheet,,,,,,,,,,,,,,,,
249,Suruchi Home Solutions,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Furniture, storage furniture, home accessories, furnishing solutions",https://suruchi.in/?fbclid=PAZXh0bgNhZW0CMTEAAaeMfXvvjZAvWQ5riyA3I1AynAeWsZddic8OVg60m9TopfgoWl3VF3hq6YiAxw_aem_JpKga912LjVbcU1oz7n5sA,Collated Sheet,,,,,,,,,,,,,,,,Products are decent. The company offers both kitchen appliances and cookware
250,SURYA PRABHA ENTERPRISES,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, utensils, serving ware, kitchen accessories",https://prabhasteel.com/,Collated Sheet,,,,,,,,,,,,,,,,Good website and wide range of products
251,Svasti,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative accessories, wall décor, handcrafted products, gifting items, home accents",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
252,SVS Electronics,Screened-Out,Home Appliances,Small Appliances,Fans,"Fans, room heaters, small electrical appliances, home utility appliances",https://svselectronics.in/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers large appliances
253,Swachh,Screened-Out,General Merchandise,Other,Cleaning Products,"Cleaning brushes, mops, wipers, scrubbers, household cleaning products",-,Collated Sheet,,,,,,,,,,,,,,,,Website is not available
254,Swastik Housewares,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Plastic Houseware,"Kitchenware, storage containers, serving ware, utility household products",Swastik Housewares,Collated Sheet,,,,,,,,,,,,,,,,Website is decent but financials and scale is unknown
255,Hasthip,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative accessories, wall décor, table décor, planters, handcrafted home accents",https://hasthip.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Product fit,Predominantly focussed on stationery additionally wall accesories have been added.
256,Taluka,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, decorative accents, mirrors, tabletop décor, planters",https://www.talukaexports.com/,Collated Sheet,,,,,,,,,,,,,,,,Good website and wide product categories
257,Tarrington House,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedding, kitchenware, storage solutions, dining accessories, home furnishings",-,Collated Sheet,,,,,,,,,,,,,,,,"(MNC: brand of metro ag, germany)"
258,Tavish Home Appliance,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",https://www.vespaelectricals.in/about-us.php,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the products are quite basic
259,Teknodome India,Screened-Out,Home Appliances,Small Appliances,Major Appliances,"Air coolers, refrigeration equipment, cooling systems, HVAC solutions",https://teknodome.com/,Collated Sheet,,,,,,,,,,,,,,,,Not relevant since it is Dubai based
260,Tempware,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, lunch boxes, kitchen organizers, utility containers",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. Scale and employee count not available
261,Terra Cool Solutions,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Air coolers, industrial cooling systems, ventilation equipment, cooling solutions",https://www.terracoolsolution.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company is a retailer of Blue Star products and provides repairs and maintenance services
262,Textures N Designer,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, upholstery fabrics, sofa fabrics, furnishing textiles",https://texturesndesigns.com/,Collated Sheet,,,,,,,,,,,,,,,,"Manufacturer and importer of curtains,wallpaper"
263,eCraftIndia,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall art, paintings, idols, sculptures, clocks, decorative accents, festive décor",Indian Handicraft Items | Buy Handmade Decor Items and Wall Hangings – eCraftIndia,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Product fit,Website and scale is decent
264,The Baby Atelier,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Baby bedding, nursery décor, cushions, quilts, storage baskets, nursery accessories",https://www.thebabyatelierco.com/,Collated Sheet,,,,,,,,,,,,,,,,"The Baby Atelier’s commitment to chemical-free, organic materials and clean design (never more than two colors per product line) speaks to thoughtful parenting and sustainable sensibilities. By working exclusively with GOTS‑certified Indian spinners and avoiding chemical finishing, they build transparency and trust. However, as a niche player, future growth may rely on broadening their range or scaling digital visibility."
265,The Bottle Co.,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Stainless steel bottles, insulated bottles, tumblers, travel mugs, hydration accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Not relevant
266,The Yellow Dwelling,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Curtains, cushion covers, bedsheets, table linen, upholstery fabrics, home furnishings",https://theyellowdwelling.com/,Collated Sheet,,,,,,,,,,,,,,,,"Launched in 2017, they rapidly expanded to 5 outlets and a 3,500 sq ft warehouse to handle customization demands. The founders’ focus on local sourcing, natural fibers, cheerful design, and sustainability progressive ethics fits well with Gen Z and millennial sensibilities. Roh growth is strong, though performing beyond metros and scaling online marketing remains ripe opportunities."
267,Theme Home Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, upholstery fabrics, blinds, sofa fabrics, furnishing textiles",https://www.themeshome.in/,Collated Sheet,5-25 cr,,,,,,,,,,,,,,,CEO - Rahul Mutha. 5-25 cr
268,Themisto,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, tabletop décor, home accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Not important because of limited product range and mainly dealing in kitchen appliances
269,Thermocool Home Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, small kitchen appliances",https://thermocool.co.in/,Collated Sheet,,,,,,,,,,,,,,,,Skipped - since it is a public company
270,Throw Pillow,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Throw pillows, cushion covers, cushions, home décor textiles",https://www.throwpillow.in/,Collated Sheet,,,,,,,,,,,,,,,,
271,TintBox,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wallpapers, wall murals, wall decals, decorative wall coverings",-,Collated Sheet,However the annual turnover is INR 40L-1,,,,,,,,,,,,,,,Been on shark tank. Products are decent. However the annual turnover is INR 40L-1.5Cr
272,Tracon Export Services,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel kitchenware, cookware, utensils, serving ware, storage containers",Tracon Export Services Pvt. Ltd | Home Textile India,Collated Sheet,,,,,,,,,,,,,,,,Website looks decent
273,TradeFT,Screened-Out,Cookware & Kitchenware,Kitchen,Kitchen Tools & Gadgets,"Kitchen tools, cookware, storage products, home utility products",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
274,Tramontina,Screened-Out,Cookware & Kitchenware,Kitchen,Cast Iron Cookware,"Stainless steel cookware, non-stick cookware, cast iron cookware, knives, kitchen tools, BBQ accessories",-,Collated Sheet,,,,,,,,,,,,,,,,(MNC– brazil)
275,Treo,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Borosilicate glassware, storage jars, glass lunch boxes, serving bowls, drinkware",-,Collated Sheet,,,,,,,,,,,,,,,,Part of a very large group
276,Trion Global Solution,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Small kitchen appliances, electrical appliances, home utility appliances",https://www.trionglobal.in/,Collated Sheet,,,,,,,,,,,,,,,,Products are decent. The company offers kitchen and home appliances including large appliances
277,Triple One,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
278,Trisara,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative accessories, wall décor, mirrors, sculptures, tabletop décor",Trisara Homeware | Home,Collated Sheet,,,,,,,,,,,,,,,,Website is good but financials and scale is not available
279,Trovea's,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative objects, planters, wall décor, home accents, gifting products",https://troveas.com/?fbclid=PAZXh0bgNhZW0CMTEAAafs2ygWImR-3xJLA-cmjiVl0Vww23pgIWUVVJxZGIIK2TipEWXWTp8NEWDqJg_aem_Mz0wVLkZf3hztggq7L6PIA,Collated Sheet,,,,,,,,,,,,,,,,Website and products are decent
280,TruTrtl,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Wardrobe & Closet Organization,"Storage organizers, wardrobe organizers, laundry bags, utility organizers",https://trutrtl.com/,Collated Sheet,,,,,,,,,,,,,,,,Website and the products are good
281,Tupperware,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, lunch boxes, bottles, kitchen organizers, storage solutions",https://www.tupperwareindia.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since it is an established company
282,Udama Industries India,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, utensils, serving ware, kitchen accessories",https://udamaindustries.com/,Collated Sheet,,,,,,,,,,,,,,,,Products are decent. Company offers mixer grinders and juicer blender
283,Umiya Home Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, curtains, cushion covers, quilts, home linen",https://umiyahomefurnishing.com/,Collated Sheet,,,,,,,,,,,,,,,,
284,Unica,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Pendant lights, chandeliers, wall lights, table lamps, decorative lighting",-,Collated Sheet,,,,,,,,,,,,,,,,The products are quite basic. Scale and employee count not available
285,Unova Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",https://unovaappliances.com/,Collated Sheet,,,,,,,,,,,,,,,,"Products are decent. The company offers blenders, mixer grinders and atta chakkis"
286,Crosscut Furniture,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Coffee tables, TV units, bookshelves, side tables, office furniture, storage furniture",https://www.crosscutindia.org/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Product fit,"Folding furniture products - BPV rejected
Dhiraj to connect once"
287,Spread - Spain,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, duvet covers, pillow covers, quilts, home linen",https://www.spreadhome.com/,Collated Sheet,,,,,,,,,,,,,,,,"Consistent Innovation - kept on launching new products to keep line fresh, agile brand building"
288,Urbanfix,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Home Organization,"Storage organizers, kitchen organizers, utility products, cleaning accessories, household essentials",-,Collated Sheet,,,,,,,,,,,,,,,,Products are avaialble on amazon but very basic
289,Uttam,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Products are quite basic. Scale and employee count are not available
290,V Lad's,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, pillow covers, curtains, home linen",http://www.vlads.in/#,Collated Sheet,,,,,,,,,,,,,,,,
